"","Reported.Year","Property.ID..","Commercial.Property..Property.Street.Address","Building.Name","Total.SqFt","Category","Year.Built","kWh.sqft","Percentile.Rank","Received.Date","Site.EUI..kBTU.sqft.","Portfolio.Manager.SqFt","Total.Green.House.Gas.Emissions..MtCO2e.","Portfolio.Manager.Organization","GeoLocation","Submitted.Name.of.Organization","GeoLocation_clean","lat","long"
"1",2017,"187746","5126 E 5 ST, AUSTIN TX,","5126 E 5 ST, AUSTIN TX,",7419,"","1940",0,NA,"",NA,NA,NA,NA,"5126 E 5 ST
AUSTIN, TX
(30.251707, -97.697313)","Pantur, Inc.","30.251707, -97.697313",30.251707,-97.697313
"2",2017,"230740","2500 RIDGEPOINT DR, AUSTIN TX, 78728","2500 RIDGEPOINT DR, AUSTIN TX, 78728",49024,"INDUSTRIAL (W/sqft > 3)","1983",15.58,39.58,"",NA,NA,NA,NA,"2500 RIDGEPOINT DR
AUSTIN, TX 78728
(30.328069, -97.672401)","Equitable Commercial Realty","30.328069, -97.672401",30.328069,-97.672401
"3",2017,"729528","1700 S PLEASANT VALLEY RD, AUSTIN TX, 78741","1700 S PLEASANT VALLEY RD, AUSTIN TX, 78741",101953,"STORE\GROCERY (W/sqft > 5)","2009",32.063,76.26,"",NA,NA,NA,NA,"1700 S PLEASANT VALLEY RD
AUSTIN, TX 78741
(30.236494, -97.721013)","Mimco, Inc.","30.236494, -97.721013",30.236494,-97.721013
"5",2017,"526381","2011 W RUNDBERG LN Austin TX 78758","2011 W RUNDBERG LN Austin TX 78758",146142,"OFFICE LG > 35000","1999",8.049,4.79,"",NA,NA,NA,NA,"2011 W RUNDBERG LN
Austin, TX 78758
(30.373732, -97.719236)","AISD","30.373732, -97.719236",30.373732,-97.719236
"6",2017,"200001","202 W 17 ST, AUSTIN TX, 78701","202 W 17 ST, AUSTIN TX, 78701",15350,"OFFICE MED 10-35","1998",100.129,NA,"",NA,NA,NA,NA,"202 W 17 ST
AUSTIN, TX 78701
(30.279196, -97.740475)","Charter Communications","30.279196, -97.740475",30.279196,-97.740475
"7",2017,"230428","1101 WHEATLEY AVE, AUSTIN TX, 78752","1101 WHEATLEY AVE, AUSTIN TX, 78752",130107,"EDUCATIONAL FACILITY","2001",10.791,31.13,"",NA,NA,NA,NA,"1101 WHEATLEY AVE
AUSTIN, TX 78752
(30.333648, -97.693197)","AISD","30.333648, -97.693197",30.333648,-97.693197
"8",2017,"587738","8400 BRODIE LA, AUSTIN TX, 00000","8400 BRODIE LA, AUSTIN TX, 00000",9850,"","2005",20.66,NA,"",NA,NA,NA,NA,"8400 BRODIE LA
AUSTIN, TX 00000
(30.199823, -97.83946)","Labord","30.199823, -97.83946",30.199823,-97.83946
"9",2017,"255057","10201 MCKALLA PL, AUSTIN TX, 78758","10201 MCKALLA PL, AUSTIN TX, 78758",15960,"WAREHOUSE","1978",6.987,63.81,"",NA,NA,NA,NA,"10201 MCKALLA PL
AUSTIN, TX 78758
(30.383929, -97.719969)","Route Service Center","30.383929, -97.719969",30.383929,-97.719969
"11",2017,"547837","10321 BURNET RD, AUSTIN TX, 78758","10321 BURNET RD, AUSTIN TX, 78758",22570,"INDUSTRIAL","1999",8.186,40.63,"",NA,NA,NA,NA,"10321 BURNET RD
AUSTIN, TX 78758
(30.387013, -97.72322)","Thom Interests, LLC.","30.387013, -97.72322",30.387013,-97.72322
"12",2017,"273949","1215 WELLS BRANCH PKWY Austin TX 78660","1215 WELLS BRANCH PKWY Austin TX 78660",11880,"","",0,NA,"",NA,NA,NA,NA,"1215 WELLS BRANCH PKWY
Austin, TX 78660
(30.439117, -97.660723)","River City Partners","30.439117, -97.660723",30.439117,-97.660723
"13",2017,"350713","2510 PEBBLE BEACH DR, AUSTIN TX, 78747","2510 PEBBLE BEACH DR, AUSTIN TX, 78747",27864,"RECREATION","1973",30.915,70.83,"",NA,NA,NA,NA,"2510 PEBBLE BEACH DR
AUSTIN, TX 78747
(30.13716, -97.789446)","Onion Creek Club","30.13716, -97.789446",30.13716,-97.789446
"15",2017,"261313","12302 THOMPKINS DR, AUSTIN TX, 78753","12302 THOMPKINS DR, AUSTIN TX, 78753",40697,"RETAIL CENTER","1985",6.177,12.08,"",NA,NA,NA,NA,"12302 THOMPKINS DR
AUSTIN, TX 78753
(30.391445, -97.658664)","Ivyrock, LP","30.391445, -97.658664",30.391445,-97.658664
"16",2017,"749987","1000 E 11 ST, AUSTIN TX, 78702","1000 E 11 ST, AUSTIN TX, 78702",58312,"OFFICE LG > 35000","2004",15.035,23.97,"",NA,NA,NA,NA,"1000 E 11 ST
AUSTIN, TX 78702
(30.269495, -97.730039)","Austin Revitalization Authority","30.269495, -97.730039",30.269495,-97.730039
"17",2017,"195948, 416857","2209 ROSEWOOD AVE, AUSTIN TX, 78702","2209 ROSEWOOD AVE, AUSTIN TX, 78702",13814,"RECREATION","",14.825,37.5,"",NA,NA,NA,NA,"2209 ROSEWOOD AVE
AUSTIN, TX 78702
(30.27021, -97.7159)","Signature Flight Support","30.27021, -97.7159",30.27021,-97.7159
