sensor_index,latitude,longitude,altitude
2796,30.276873,-97.83731,726
2806,30.483,-97.8485,984
2862,30.366156,-97.76529,899
4041,30.30609,-97.72693,618
14983,30.13082,-97.84433,662
15101,30.255585,-97.77556,636
15103,30.254705,-97.774345,606
15105,30.255846,-97.77537,634
15233,30.323566,-97.72985,697
16407,30.320675,-97.72428,653
20007,30.330725,-97.73789,666
21861,30.30927,-97.683846,616
22651,30.141853,-97.850235,699
26125,30.181337,-97.89992,902
26513,30.22842,-97.754196,664
27183,30.287216,-97.73697,552
27187,30.28183,-97.71775,599
27395,30.285069,-97.73288,530
27453,30.289036,-97.735374,559
27455,30.285181,-97.734985,524
27461,30.385553,-97.73103,767
27463,30.287292,-97.73345,524
27485,30.290632,-97.74024,604
27491,30.285305,-97.72824,590
27511,30.285023,-97.74165,575
27519,30.28559,-97.73693,547
27533,30.280027,-97.732506,544
27539,30.279041,-97.72593,572
27547,30.283525,-97.73466,523
27563,30.281025,-97.7371,530
27567,30.28941,-97.73661,555
27569,30.282122,-97.72687,592
27571,30.286663,-97.74001,594
27573,30.277252,-97.73332,525
27897,30.288282,-97.73138,571
28095,30.240921,-97.71724,456
28831,30.27431,-97.7023,546
29667,30.384617,-97.728615,778
29671,30.386145,-97.72577,790
29675,30.384623,-97.73023,768
29685,30.39265,-97.72945,781
29695,30.391546,-97.72915,788
29701,30.389553,-97.72252,794
29715,30.304918,-97.732605,619
29733,30.383553,-97.72425,780
29735,30.38478,-97.72609,787
29743,30.388945,-97.72782,791
29751,30.38557,-97.72575,791
29763,30.304554,-97.73167,621
29765,30.392096,-97.72605,799
29769,30.386267,-97.72416,788
29771,30.386887,-97.7253,791
29773,30.389162,-97.72495,796
29775,30.391584,-97.72855,788
29777,30.391224,-97.72378,792
29779,30.305756,-97.73445,614
29781,30.385944,-97.72505,789
29785,30.38838,-97.72469,794
29787,30.387241,-97.73061,775
29789,30.384706,-97.72403,785
29793,30.389471,-97.73002,777
29807,30.385172,-97.72532,785
29809,30.38474,-97.72561,784
29885,30.391535,-97.730125,777
30001,30.39042,-97.723404,792
30003,30.389812,-97.72402,795
30017,30.38877,-97.7257,798
30047,30.388954,-97.72777,791
30061,30.391956,-97.73076,777
30065,30.391428,-97.73007,777
30067,30.390171,-97.73056,774
30069,30.390945,-97.72227,793
30077,30.390688,-97.724075,798
30079,30.391205,-97.725426,798
30081,30.388983,-97.727776,791
30083,30.38964,-97.724014,793
30085,30.38635,-97.72932,778
30087,30.38895,-97.72782,792
30091,30.391954,-97.72753,794
30093,30.390472,-97.72576,801
30095,30.391031,-97.725586,800
30107,30.391205,-97.73019,779
30109,30.392378,-97.72848,789
30689,30.28345,-97.72317,610
34435,30.40969,-97.698944,698
39123,30.460455,-97.991196,886
39167,30.32399,-97.74681,630
43425,30.187592,-97.7417,551
43597,30.188522,-97.74295,561
43601,30.183464,-97.74651,552
43613,30.197233,-97.75521,598
49065,30.245905,-97.73319,530
49081,30.390482,-97.729355,798
49083,30.389853,-97.72989,786
49085,30.390242,-97.7295,791
52617,30.258938,-97.76475,532
65197,30.261005,-97.77081,485
76047,30.177912,-97.78982,691
78031,30.363804,-97.61267,567
85861,30.42181,-97.792816,771
87765,30.227245,-97.896904,1025
91067,30.390285,-97.80241,959
91101,30.254564,-97.771645,585
96149,30.231272,-97.87447,911
96355,30.32616,-97.78282,605
96937,30.250135,-97.720634,445
102148,30.225344,-97.87685,886
102426,30.442484,-97.62892,745
102762,30.2912,-97.712906,574
105154,30.231756,-97.881294,940
110162,30.444378,-97.76113,892
110626,30.255966,-97.83595,775
113468,30.310314,-97.64124,628
113929,30.314547,-97.66559,573
113933,30.333101,-97.707565,732
114061,30.34464,-97.70936,736
114395,30.236097,-97.69187,481
119083,30.311197,-97.64255,640
121049,30.258799,-97.735214,466
121359,30.26691,-97.72221,537
121375,30.234251,-97.84249,765
121379,30.300339,-97.63627,545
121381,30.229109,-97.7719,639
121415,30.279257,-97.67387,560
121417,30.229794,-97.897385,1056
121827,30.254507,-97.72201,463
122085,30.41674,-97.789925,875
122873,30.09934,-97.81777,679
122923,30.312178,-97.71627,654
122939,30.29332,-97.714455,602
123159,30.29333,-97.71458,601
124599,30.086714,-97.83802,694
130825,30.250307,-97.75918,546
131835,30.292303,-97.69709,594
133822,30.285675,-97.72175,610
134442,30.458267,-97.809296,960
135084,30.31899,-97.71798,663
135100,30.292566,-97.709274,581
137762,30.40166,-97.95699,728
138056,30.300396,-97.728455,607
144890,30.232233,-97.699745,490
144888,30.353016,-97.68197,657
144892,30.187496,-97.738335,534
148203,30.450836,-97.81718,1016
149298,30.290644,-97.92802,882
151672,30.25578,-97.73913,453
151690,30.306002,-97.68221,610
152286,30.254145,-97.762695,542
152538,30.214504,-97.63422,430
152572,30.446068,-97.56121,632
152836,30.262297,-97.69636,454
152976,30.232952,-97.892365,1034
153648,30.28486,-97.74138,576
153658,30.209448,-97.752975,654
153670,30.320787,-97.72505,648
153678,30.285337,-97.740616,580
153676,30.305132,-97.68923,585
153704,30.286459,-97.738625,579
153710,30.288979,-97.74023,600
156033,30.235098,-97.90143,1009
156355,30.1876,-97.74175,547
156357,30.229876,-97.70702,498
156663,30.379278,-97.72906,772
156673,30.18931,-97.8702,822
156889,30.297249,-97.694786,605
156897,30.170752,-97.75609,558
159865,30.22944,-97.74716,592
160059,30.231869,-97.883286,997
161583,30.331728,-97.705154,731
161581,30.266005,-97.751915,458
165295,30.459578,-97.849556,894
166029,30.37978,-97.8991,707
184011,30.188492,-97.86353,792
192347,30.37936,-97.72924,770
193303,30.47187,-97.58414,695
196879,30.268723,-97.79208,620
198537,30.44227,-97.62881,745
198787,30.263107,-97.66414,423
198817,30.433956,-97.567986,638
203555,30.191713,-97.90246,900
203723,30.099,-97.88,777
204791,30.22148,-97.69634,508
209101,30.2503,-97.75924,546
211261,30.2545,-97.72198,463
211375,30.297241,-97.69485,604
213569,30.30077,-97.71719,606
213765,30.30728,-97.82609,828
213789,30.228407,-97.75423,664
