SPECIES,DIAMETER,LONGITUDE,LATITUDE
Oak,20.0,-97.73398904092146,30.25239671647407
Ashe Juniper,8.0,-97.77949770772025,30.20704479399738
Oak,31.0,-97.73408544155564,30.252389392695715
Oak,21.0,-97.73392463841283,30.252384583450418
Oak,20.0,-97.73385944263053,30.252313660255723
Oak,16.0,-97.73385592478938,30.252400201971927
Oak,30.0,-97.73377804833093,30.25240326161804
Oak,23.0,-97.73377522922246,30.252331543123216
Pecan,3.0,-97.73342529861817,30.252477044340022
Oak,29.0,-97.73333468338379,30.252467987518667
Oak,22.0,-97.73438552281138,30.252242874827274
Oak,37.0,-97.73394697415748,30.252068044833262
Oak,24.0,-97.73387048777415,30.252107737137095
Oak,14.0,-97.73382440720526,30.252054730675766
Oak,23.0,-97.73367426809013,30.252094991103
Oak,23.0,-97.7337606592516,30.251996211521828
Oak,21.0,-97.73369476450422,30.251995389633013
Oak,17.0,-97.73346416748402,30.252046390041787
Oak,19.0,-97.73336801331789,30.252065878309526
Oak,19.0,-97.73326110678852,30.25208845536565
Pecan,18.0,-97.73351784639269,30.251854552353194
Oak,25.0,-97.73345957902201,30.251790988282032
Oak,22.0,-97.73321428610173,30.251666660907023
Oak,17.0,-97.73451168468746,30.25228930512442
Texas Mountain Laurel,6.0,-97.73329174693566,30.25158402285799
Texas Mountain Laurel,6.0,-97.73330853377111,30.251577459732744
Texas Mountain Laurel,12.0,-97.73332045897283,30.25158643281773
Texas Mountain Laurel,9.0,-97.73343575561115,30.251646351165164
Texas Mountain Laurel,8.0,-97.73345088114151,30.251649375978797
Texas Mountain Laurel,14.0,-97.7334737765724,30.251661873348592
Texas Mountain Laurel,14.0,-97.7334972320484,30.251672061256016
Texas Mountain Laurel,9.0,-97.73354662113636,30.25170725056417
Sugarberry,9.0,-97.73352672656463,30.251739446646102
Sugarberry,6.0,-97.73353059716992,30.25175087304656
Sugarberry,4.0,-97.73353350267602,30.25176197306547
Texas Mountain Laurel,6.0,-97.73360311498706,30.251716512662966
Texas Mountain Laurel,7.0,-97.73365617316954,30.251749537673795
Texas Mountain Laurel,9.0,-97.7336735235328,30.25174895131849
Texas Mountain Laurel,4.5,-97.73381299835067,30.25181412070351
Willow,6.0,-97.73371190320833,30.251836470450584
Texas Mountain Laurel,9.0,-97.73381650189859,30.25182076716022
Texas Mountain Laurel,4.0,-97.73382682864491,30.251818813788212
Texas Mountain Laurel,9.0,-97.73392329241469,30.251907961699086
Texas Mountain Laurel,14.0,-97.7341239912769,30.251950868778373
Texas Mountain Laurel,4.5,-97.73409689298632,30.251928198073845
Texas Mountain Laurel,21.0,-97.73424272448732,30.251985745737176
Texas Mountain Laurel,14.0,-97.7342593951375,30.251998828623524
Texas Mountain Laurel,13.0,-97.73429553958124,30.252010091332664
Oak,11.0,-97.74138399965925,30.187153999809752
Oak,7.0,-97.74154800022653,30.187163000186505
Brush,0.0,-97.74052300000226,30.18723200015412
Oak,7.0,-97.74157399947971,30.18723300004307
Elm,6.0,-97.74143600045406,30.187255999575086
Oak,12.0,-97.74182699986257,30.187287000155507
Oak,9.0,-97.74193499961807,30.187295999781572
Elm,5.0,-97.74140899970102,30.187339999982452
Oak,4.0,-97.74184399992468,30.18735499958489
Elm,8.0,-97.74163999983625,30.187380999960464
Elm,11.0,-97.74200100034302,30.18741500025004
Oak,6.0,-97.74161300044753,30.187425999687267
Ashe Juniper,14.0,-97.74137099994054,30.187432999575226
Elm,9.0,-97.7420940004558,30.1874389997456
Ashe Juniper,8.0,-97.74134499955284,30.187442999827343
Mexican Plum,1.0,-97.74216699968997,30.187451000260616
Ashe Juniper,8.0,-97.74144000045148,30.187481000342718
Vitex,16.0,-97.74182399978609,30.1874820000115
Ashe Juniper,17.0,-97.74142500018925,30.187493999795358
Oak,10.0,-97.74221199991504,30.187619999888703
Elm,13.0,-97.77043699957677,30.187648000392777
Elm,14.0,-97.74211299979494,30.187688000282062
Mexican Plum,9.0,-97.74162900041539,30.187695000327636
Mexican Plum,12.0,-97.74164899953297,30.18770300013724
Oak,9.0,-97.74226799950105,30.187709999761427
Oak,10.0,-97.74223299954768,30.187745000434916
Elm,9.5,-97.74222500002537,30.18776900037205
Redbud,3.0,-97.74196200048019,30.187829999862906
Mesquite,20.0,-97.74199299986614,30.187857999663226
Elm,34.0,-97.7790739995033,30.20702700027792
Texas Mountain Laurel,8.0,-97.77915500021646,30.207056999668264
Texas Mountain Laurel,13.0,-97.77911400018878,30.207062999868203
Oak,5.0,-97.7797440003772,30.20707400007061
Privet,14.0,-97.77928599995516,30.207084999623515
Ashe Juniper,12.0,-97.77939599995847,30.207094999617347
Ashe Juniper,21.0,-97.7794709998474,30.20709900029458
Elm,4.0,-97.77917199996475,30.207108999857674
Ashe Juniper,12.0,-97.77941599952497,30.207117000278647
Elm,3.0,-97.7792180003203,30.207127000295415
Chinaberry,9.0,-97.77971299990152,30.207131000149076
Oak,4.0,-97.77964000020995,30.207171000121676
Elm,4.0,-97.77927000019126,30.207174000357583
Elm,3.0,-97.77936299955437,30.207203000031143
Sugarberry,12.0,-97.77942500039374,30.207242000020344
Oak,56.0,-97.85631799997029,30.2159380003428
Crape Myrtle,10.0,-97.74212799994599,30.18787400002058
Elm,8.5,-97.77684599966649,30.19142900007255
Chinaberry,9.0,-97.77677699992053,30.19145499987084
Oak,30.0,-97.77717599996261,30.19150099970155
Sugarberry,7.0,-97.7777249995373,30.191519000162355
Oak,16.0,-97.77764999953244,30.191520999614415
Oak,24.0,-97.77739799980402,30.191530000350877
Oak,48.0,-97.77772000040333,30.19153799997745
Oak,39.0,-97.77756499992881,30.191584999670024
Oak,42.0,-97.77706999956824,30.191641000224795
Oak,36.0,-97.77737799980743,30.19165099955712
Oak,42.0,-97.77778899967902,30.19167199976876
Chinaberry,13.0,-97.7767270001169,30.19167499996425
Ash,16.0,-97.77699799984727,30.19168200012379
Oak,39.0,-97.77710400031049,30.191695000416185
Goldenrain Tree,8.0,-97.77767899962295,30.191702999891767
Oak,38.0,-97.77696900045854,30.191715000392296
Mexican Plum,7.0,-97.7770400004493,30.191725999832407
Goldenrain Tree,8.0,-97.77766299967564,30.19172799987277
Oak,25.0,-97.77709099963351,30.191759000231304
Chinaberry,8.0,-97.77668799983068,30.19176500002931
Oak,9.0,-97.7769010003664,30.191779999946014
Oak,37.0,-97.77764499989327,30.191803000403024
Oak,28.0,-97.77752500010598,30.191807999588747
Oak,40.0,-97.77717499989822,30.19181100022277
Pecan,12.0,-97.77683500050533,30.191875000349533
Elm,8.0,-97.7767629996642,30.191883999891555
Elm,6.0,-97.77678400050915,30.19188799968032
Oak,38.0,-97.77763499999406,30.191927999871805
Ashe Juniper,14.0,-97.77758100033356,30.19195799997985
Elm,12.0,-97.77695900006466,30.191962000154717
Crape Myrtle,10.0,-97.77702899981526,30.191969000353936
Elm,8.0,-97.77692700011077,30.19199000025228
Crape Myrtle,11.0,-97.77735199976378,30.191998999766962
Crape Myrtle,10.0,-97.77736499953792,30.192007000370104
Oak,33.0,-97.77749699975816,30.19202799967965
Sugarberry,12.0,-97.77725500023197,30.192029000322812
Privet,16.0,-97.77759900028072,30.19204800028294
Elm,10.0,-97.77688600013974,30.19209100045154
Elm,9.0,-97.77665499969639,30.192122999844436
Oak,26.0,-97.77749300050357,30.192143999991472
Oak,23.0,-97.77753499984668,30.192155000423003
